Lipid,Standard,Concentration (nmol/ml)
C1P d18:1/C16:0,C1P d18:1/C8:0 (ISTD),0.04
C1P d18:1/C8:0 (ISTD),C1P d18:1/C8:0 (ISTD),0.04
Cer d16:1/C16:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C16:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C18:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C18:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C20:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C20:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C22:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C22:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C22:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C22:1(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C23:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C23:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C24:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C24:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C24:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C24:1(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C25:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C25:1(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C26:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C26:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C26:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d16:1/C26:1(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C16:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C16:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C18:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C18:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C20:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C20:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C22:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C22:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C22:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C22:1(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C23:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C23:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C23:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C23:1(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C24:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C24:0(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C24:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C24:1(-H20),Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C25:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C25:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:0/C25:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C25:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:0/C26:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C26:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:0/C26:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:0/C26:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C14:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C14:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C14:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C14:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C16:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C16:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C16:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C16:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C18:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C18:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C18:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C18:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C20:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C20:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C20:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C20:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C22:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C22:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C22:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C22:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C23:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C23:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C23:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C23:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C24:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C24:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C24:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C24:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C25:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C25:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C25:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C25:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C26:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C26:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C26:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C26:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:1/C8:0 (ISTD),Cer d18:1/C8:0 (ISTD),0.235
Cer d18:1/C8:0 (ISTD)(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C14:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C14:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C16:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C16:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C18:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C18:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C18:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C18:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C20:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C20:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C20:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C20:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C22:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C22:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C22:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C22:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C23:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C23:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C23:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C23:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C24:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C24:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C24:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C24:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C25:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C25:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C25:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C25:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C26:0,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C26:0(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
Cer d18:2/C26:1,Cer d18:1/C8:0 (ISTD),0.235
Cer d18:2/C26:1(-H20),Cer d18:1/C8:0 (ISTD)(-H20),0.235
