Lipid,Standard,Concentration (nmol/ml),RelativeAbundance
C1P d18:1/C16:0 Results,C1P d18:1/C8:0 (ISTD) Results,0.04,1
C1P d18:1/C8:0 (ISTD) Results,C1P d18:1/C8:0 (ISTD) Results,0.04,0
Cer d16:1/C16:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d16:1/C16:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d16:1/C18:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d16:1/C18:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d16:1/C20:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d16:1/C20:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d16:1/C22:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d16:1/C22:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d16:1/C22:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d16:1/C22:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d16:1/C23:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d16:1/C23:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d16:1/C24:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d16:1/C24:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d16:1/C24:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d16:1/C24:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d16:1/C25:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d16:1/C25:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d16:1/C26:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d16:1/C26:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d16:1/C26:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d16:1/C26:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:0/C16:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:0/C16:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:0/C18:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:0/C18:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:0/C20:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:0/C20:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:0/C22:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:0/C22:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:0/C22:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:0/C22:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:0/C23:0 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:0/C23:0(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
Cer d18:0/C23:1 Results,Cer d18:1/C8:0 (ISTD) Results,0.235,1
Cer d18:0/C23:1(-H20) Results,Cer d18:1/C8:0 (ISTD)(-H20) Results,0.235,0
