Sample, GM3 d18:1/C16:0 Results,Gb4(d18:2)(C16:0) Results,Gb3(d18:2)(C16:0) Results,Gb3(d18:1)(C16:1) Results,DHCer d18:1/C14:0 Results,MHCer d18:2/C16:1 Results,DHCer d18:2/C16:0 Results,Gb4(d18:1)(C16:0) Results,GM3 d18:1/C18:0 Results,MHCer d18:1/C14:0 Results,GM3 d18:2/20:0 Results,Gb3(d18:1)(C16:0) Results,MHCer d18:2/C16:0 Results,Gb3(d18:2)(C18:0) Results,DHCer d18:1/C16:0 Results,Gb3(d18:1)(C17:0) Results,MHCer d18:1/C16:1 Results,Gb4(d18:1)(C18:0) Results,MHCer d18:1/C16:0 Results,Gb3(d18:1)(C18:0) Results,MHCer d18:1/C18:1 Results,Gb3(d18:1)(C19:0) Results,Gb4(d18:1)(C20:0) Results,GM3 d18:1/C24:1 Results,GM3 d18:1/C22:0 Results,DHCer d18:1/C18:0 Results,MHCer d18:1/C18:0 Results,Gb3(d18:1)(C22:1) Results,Gb3(d18:1)(C20:0) Results,Gb3(d18:1)(C24:2) Results,Gb3(d18:2)(C24:1) Results,Gb3(d18:2)(C22:0) Results,Gb3(d18:1)(C21:0) Results,Gb4(d18:1)(C24:1) Results,Gb4(d18:1)(C22:0) Results,GM3 d18:1/C24:0 Results,DHCer d18:2/C22:0 Results,DHCer d18:2/C24:1 Results,Gb3(d18:1)(C24:1) Results,Gb3(d18:1)(C22:0) Results,MHCer d18:1/C20:0 Results,MHCer d18:1/C22:1 Results,MHCer d18:2/C22:1 Results,MHCer d18:2/C22:0 Results,Gb3(d18:2)(C24:0) Results,MHCer d18:1/C24:1 Results,MHCer d18:2/C24:1 Results,DHCer d18:1/C24:1 Results,DHCer d18:1/C22:0 Results,Gb3(d18:1)(C23:0) Results,Gb3(d18:1)(C25:1) Results,Gb4(d18:1)(C24:0) Results,DHCer d18:2/C24:0 Results,MHCer d18:1/C23:1 Results,MHCer d18:2/C23:0 Results,DHCer d18:1/C23:0 Results,Gb3(d18:1)(C24:0) Results,MHCer d18:1/C22:0 Results,MHCer d18:2/C24:0 Results,DHCer d18:1/C24:0 Results,Gb3(d18:1)(C25:0) Results,MHCer d18:1/C25:1 Results,MHCer d18:1/C23:0 Results,MHCer d18:2/C25:0 Results,Gb3(d18:1)(C26:0) Results,MHCer d18:1/C24:0 Results,MHCer d18:1/C25:0 Results,MHCer d18:1/C26:0 Results,Sphd16:1 Results,Sphd18:2 Results,Sphd18:1 Results,Sphd18:0 Results,SM C30:1 Results,SM C32:2 Results,SM C32:1 Results,SM C34:2 Results,Cer d18:2/C14:0 Results,Cer d18:2/C16:0 Results,Cer d16:1/C18:0 Results,Cer d18:1/C16:0 Results,Cer d18:2/C18:0 Results,SM C38:1 Results,SM C42:3 Results,SM C40:2 Results,SM C39:1 Results,Cer d18:1/C18:0 Results,Cer d18:0/C18:0 Results,Cer d16:1/C20:0 Results,Cer d18:2/C20:0 Results,Cer d18:2/C22:1 Results,SM C42:2 Results,SM C40:1 Results,SM C41:1 Results,SM C43:2 Results,Cer d18:0/C20:0 Results,Cer d18:1/C20:0 Results,Cer d18:1/C22:1 Results,Cer d16:1/C22:0 Results,Cer d18:2/C24:1 Results,Cer d18:2/C22:0 Results,SM C42:1 Results,Cer d18:1/C23:1 Results,Cer d18:2/C23:0 Results,Cer d18:0/C22:0 Results,SM C43:1 Results,Cer d18:0/C24:1 Results,Cer d18:1/C24:1 Results,Cer d18:1/C22:0 Results,Cer d18:2/C24:0 Results,Cer d18:1/C25:1 Results,SM C44:1 Results,Cer d18:1/C23:0 Results,Cer d18:2/C25:0 Results,Cer d18:1/C26:1 Results,Cer d18:0/C24:0 Results,Cer d18:1/C24:0 Results,Cer d18:2/C26:0 Results,Cer d18:1/C25:0 Results,Cer d18:1/C26:0 Results,
TQC13,0.184646743836,0.0121969221,0.156952288672,0.0144067975992,0.00677476024564,0.00542864811825,1.00786492546,0.331856265203,0.460398303562,0.00122811765104,0.0444929175067,2.29398711015,0.0137527425514,0.0204967372784,0.426847460585,0.0074022307854,0.00995126666151,0.00653305096179,0.0394001559219,0.136790725312,0.00131094029917,0.00896448210235,0.00812370684814,0.00700456681381,0.0281830137578,1.04513829656,0.142592992528,0.0363748915725,0.273655302505,0.214755587399,0.0896845874206,0.0861965062984,0.0498272956399,0.0254050468705,0.0311314080614,0.0255527506314,0.0558905315703,0.0841970112713,1.89985098609,1.60441505977,0.0867504494717,0.0952987506694,0.0891732210775,0.0236479575217,0.361726510383,0.00763641547594,0.0832802641743,0.145847440418,0.108657050896,0.387142919082,0.0101120267061,0.0453450545887,0.226905795637,0.0255001731072,0.014224580668,0.039591973936,2.70038832729,0.627688588987,0.0423282293406,0.212657371039,0.064285221464,0.0724865489606,0.271676690895,0.00186643765631,0.0147362906042,1.39374621545,0.0581398258015,0.00832158465591,0.00127800351297,0.0407011627265,0.266077894528,0.0491347684774,0.000907351842392,0.00337651604443,0.0660226995272,2.02363221522,0.000848565518717,0.131255076038,0.00131097693905,0.527734740313,0.188206315564,3.00214934392,2.71400607967,1.73999653041,0.256677747452,0.644022288797,0.0105819202927,0.00117468725727,0.0385229275543,0.00341535452562,8.56786221931,4.86651143627,0.893641519836,0.0751840970057,0.00186749313966,0.07005127394,0.0162379420867,0.00139696923827,0.0770361201314,0.0791551001838,2.96245791149,0.00407408798757,0.0251632937472,0.00339263957866,0.055094181548,0.00393130832094,0.20831228862,0.167663891028,0.095021490638,0.00160464875337,0.0155597640599,0.0563882333413,0.00166792610562,0.000816115594483,0.00390372588534,0.174651982212,0.000637641011197,0.00489993855932,0.00122822963225,
TQC14,0.191651044181,0.0134317028669,0.237364290565,0.0173615023956,0.00528016831688,0.00899549439487,1.52999720564,0.431962684392,0.584044459811,0.00121415614442,0.0573486789436,2.89778724951,0.0159768922253,0.0267607617162,0.719904057584,0.0103963726338,0.0102403331855,0.00885671237073,0.0473148321332,0.16992717104,0.00162946767757,0.0116574277065,0.0065765488382,0.019245753289,0.0440856055341,1.58065165699,0.186573501177,0.0413655390692,0.338453984412,0.294712969508,0.106603143932,0.12256428866,0.0614764347918,0.0337258914779,0.0469376428786,0.0272739818039,0.0832577408401,0.143912610002,2.29034728541,2.07029317523,0.106320848296,0.133265690746,0.12987197091,0.0343174440205,0.485410890669,0.0101515726732,0.104137997177,0.200757090169,0.199889744815,0.548126385387,0.0135416785999,0.0509334278472,0.305060928975,0.0379938825263,0.0149632690903,0.069869486904,3.1066165032,0.775713183418,0.0666383244172,0.30979055578,0.0806928612187,0.077149322375,0.317880981608,0.00287978551221,0.0185858988906,1.69390890535,0.0696901519101,0.00960805151105,0.00210744188207,0.0556051967319,0.374896206024,0.0517916267617,0.00104880064849,0.00438230019707,0.104235763948,3.52442606462,0.00123983692831,0.119082867427,0.00152074401388,0.505593460489,0.226466289153,2.96712818436,2.47980678405,0.893897667783,0.477314313722,0.908131642055,0.0142267734383,0.00142292815373,0.0558804452381,0.00329396999159,11.9099403631,7.30990730674,1.25633668837,0.0818839457503,0.00158595458732,0.098565781751,0.0184838534376,0.00189695886064,0.115374225071,0.113245685071,4.12580585305,0.00419103339286,0.033045040073,0.00383070317296,0.0737941933665,0.00355063212038,0.271976581148,0.219435251684,0.109515305858,0.00167206598558,0.0157906424269,0.0625494804216,0.0023425644458,0.000920472325062,0.00413167505037,0.253335553508,0.00088703100535,0.0078737587261,0.00136356981124,
TQC15,0.245296829321,0.0161754851702,0.216348055024,0.0212185633758,0.00834334261533,0.00959332044589,1.34107298826,0.392938589029,0.564854866966,0.00165822396435,0.0744719638313,2.8074816371,0.0184552844708,0.0293401773817,0.579500077611,0.00949152480203,0.0135626789748,0.00992808978103,0.0584735147721,0.175491594575,0.00171011889191,0.00944636290765,0.0118098353802,0.014444279219,0.0418424951424,1.27160796522,0.205082719423,0.0525007022158,0.329779679739,0.277316612436,0.10292395729,0.128997424312,0.0666363751565,0.0316509609774,0.0454930816047,0.0273078921346,0.0681745914667,0.105430185617,2.24757199757,2.03351967218,0.109745703201,0.150991308882,0.139695110697,0.0380293270311,0.517615525445,0.0117246330522,0.134360794888,0.201101883709,0.146107670458,0.549943914838,0.0181023926637,0.0428511107835,0.295290548499,0.0386387907152,0.015304176195,0.0499223677601,3.26191567231,0.83019694822,0.0771315515181,0.291984218844,0.0834667077952,0.0869143487925,0.369768254887,0.0025138868397,0.0233185914645,2.05685907441,0.0784759921995,0.0103065739851,0.00189354867642,0.0511973784115,0.352321261561,0.0527315537487,0.0010753806185,0.00478564216203,0.111219223303,3.59913491142,0.00118997652907,0.128629150985,0.00134424762535,0.456276051117,0.238793980136,3.17607779519,2.92331044059,1.86593351901,0.463584283233,0.97529062171,0.0163326488227,0.00174599527189,0.0542825350108,0.00406247220188,11.3285356186,6.64027690952,1.19397340792,0.0667911541811,0.00130407286069,0.092449364928,0.0202520988624,0.00123657925607,0.108611672749,0.101862312287,4.06680511191,0.00266680087778,0.032998748192,0.00419424542995,0.0613059543741,0.00512469297935,0.284184232738,0.261695202979,0.136378059592,0.00204569901622,0.0178423236936,0.0652847960591,0.00248360395095,0.00099231668697,0.00413076930179,0.28723269388,0.000744036641404,0.00905860593433,0.00135388956886,
37 Blk+ISTD 01,0.0497725052411,0.0,0.0170274360035,0.261305652516,0.0,0.0276080225307,0.149796391732,0.0111333235408,0.0916861938652,0.243452562316,0.0347097733918,0.837618871097,0.106249056406,0.0268509567748,0.657231668722,0.256721342823,0.1447329666,0.0,0.281099865767,0.182062584961,0.162301708211,0.0203019429273,0.0203019429273,0.0333999706223,0.0779332647855,3.31799007685,0.655899686789,0.0582862232429,0.459085870711,0.0962705035585,0.0838273772482,0.0667999412447,0.0504274066259,0.0,0.00851371800177,0.0288156609291,0.0655359213825,0.383853253812,1.3314145152,1.06814415853,0.352211438952,0.476865843711,0.0435035506544,0.109595483379,0.010478422156,0.196602584688,0.0803142473619,0.490583182921,0.204097583734,0.0386391817004,0.0373293789308,0.0,0.758344233141,0.202458831891,0.0343008764775,0.0730257409691,0.846787490484,1.4858135762,0.112941910353,0.30708260305,0.0294705623138,0.0409937304243,0.583114900117,0.0359740899642,0.015717633234,3.12472618642,0.0501964046012,0.0317910562474,0.00938782605709,0.254514395326,0.537192268822,0.131645319454,0.0221802417474,0.0448131414896,0.23176089336,2.06547843048,0.0125494389505,0.316017689936,0.094120792129,1.12944950555,0.380476171819,2.47966049576,2.24427833844,1.88079396858,0.448131414896,1.21786600725,0.0427821782405,0.0792896370057,0.116367524814,0.0171128712962,9.73078891518,5.59983205422,1.10493816542,0.276424551699,0.0319440264195,0.159720132098,0.0302327392899,0.0405004620676,0.164853993487,0.130057821851,4.59719459564,0.0199650165122,0.0154015841666,0.0638880528391,0.0973214688916,0.0758670627464,0.257263498486,0.243002772406,0.035937029722,0.0256693069443,0.058392881335,0.152874983579,0.0114085808641,0.0108381518209,0.00684514851847,0.380476171819,0.0273805940739,0.0450638944133,0.058183762407,
1744_kidney_MF1,0.0839971727787,0.020189637176,0.350240199709,0.00442624979109,0.00612103480665,0.0180603442498,1.87168828826,0.262430123316,0.022330488796,0.00033829950551,0.0026018379178,4.92348992649,0.0549442271969,0.012134096956,1.44761906343,0.00395354350272,0.0259058908025,0.0012813856412,0.0539685852783,0.110437471619,0.00183928707262,0.0103995383441,0.0108136446794,0.00310579751449,0.0140444554272,0.0247997580301,0.00224917213902,0.0312689349761,0.823040248003,0.191539806714,0.207166460875,0.319697904152,0.0776605645164,0.0301242825588,0.0852551184386,0.0124817900111,0.275654952371,0.481364735665,2.83899192801,5.3795733615,0.0109849197796,0.0267880096496,0.00451681797118,0.0212124181407,2.11318462886,0.00840206655835,0.0518487289912,0.39307913418,0.290089746029,1.06771458553,0.020095877251,0.129666069564,1.2100528224,0.0110738244278,0.00667477625035,0.0686211645281,7.78444511692,0.0659118278892,0.10600782423,1.09070376854,0.137530183271,0.000959477437129,0.0219444382311,0.00166263238203,0.0429264189801,0.208736567929,0.0034661266742,0.00155987246397,0.000392624239445,0.0477535273664,0.171546714721,0.00781571910013,0.00101303237475,0.00568359870975,0.126244302511,6.45262984094,0.00130369612584,0.166027979093,6.52463594613e-05,0.644796531844,0.00470143107137,1.86485906334,3.21723648663,1.77015887049,0.216846940855,0.0180572377468,0.000150805264793,0.000334849241009,0.00669944694695,0.00192969185765,2.78591346189,6.41027512701,1.2418474366,0.0890108302537,0.000483807910722,0.0209588541477,0.00289976980587,0.000220975877798,0.138313049082,0.0960401790002,5.6462834351,0.000208049712244,0.032111057362,0.0019075327167,0.0743164052766,0.00239749594436,0.132470422252,0.114927153469,0.247252925774,0.000407481980786,0.023364324749,0.0351813294469,0.00413637297717,0.000405019854014,0.00345928811483,0.214962133157,0.00137263567546,0.00491686716393,0.00100331665964,
1777_kidney_MF2,0.0553540638525,0.00812501389417,0.156173549055,0.00566055470352,0.00434257958654,0.013426253469,1.54785466644,0.121212885005,0.0107512032192,0.000432527605646,0.00144016833954,2.17562457351,0.0751792637592,0.0110900663579,1.33321097444,0.00317299120796,0.0353121503147,0.00148252623187,0.0924490470205,0.0634752270292,0.00217009540074,0.00472868107206,0.0101504912915,0.00427429640878,0.00784776223522,0.0254732204746,0.00261604627691,0.0135699284185,0.537194342799,0.0850816028397,0.171226003705,0.180579396477,0.0534787644371,0.0155183914661,0.0543798323287,0.0098578367626,0.175439013758,0.388105819892,1.64444890214,3.04721907345,0.0104418129901,0.0147820037916,0.0053588678865,0.0300457538474,1.08767366092,0.00331853076745,0.0432661838351,0.39337893878,0.287408462924,0.551083880769,0.00876038227926,0.0764906521298,1.21976419804,0.00570488997102,0.0085088620352,0.0570051905055,4.04693849629,0.0623868869536,0.155926201835,0.95949415103,0.0586271737151,0.000824785399731,0.0225764495402,0.00200752468,0.0211096332549,0.196443598163,0.00390617172133,0.00173160189709,0.00115703197068,0.0634111489034,0.210139566823,0.00913314209302,0.00127495179572,0.00705565547707,0.110187651307,5.8314804234,0.00240492003239,0.320347870103,0.000369208626719,1.09881275054,0.00911328425751,1.84133241595,3.1766204024,2.08335576988,0.140695042165,0.0221506761636,0.000359080709277,0.000139949404641,0.0126543724828,0.00273729986842,7.63406168242,6.11311181868,1.18105032793,0.0741567149743,0.000366446467416,0.0272680366307,0.00512748838453,0.000688698385999,0.174255423174,0.157191723725,4.60154003617,0.00149064530339,0.0537138705091,0.00199059613707,0.0644246437532,0.002754793544,0.171081702136,0.158236740661,0.28746896721,0.00086731802087,0.020061854507,0.0330961927582,0.00398211299391,0.000991615189466,0.00436697385667,0.240835431712,0.00103212685923,0.00468370145665,0.00110578444062,
1776_kidney_MF3,0.0896379442504,0.0252678388767,0.274386279139,0.00931303316888,0.00649469443193,0.0166899970664,1.73680122817,0.302398136717,0.0221444388017,0.000273870608233,0.0042667412007,1.94361235253,0.108129095596,0.00435509028768,1.27870884578,0.00130444828426,0.0343011952696,0.0018189517908,0.0817144951142,0.0115061693281,0.00010691205562,0.000457336450257,0.0122025680137,0.00318576413645,0.0128781786788,0.0458860465299,0.00319271618154,0.0129665277658,0.0425998509404,0.0159288206823,0.0525157367028,0.141514449324,0.0106902395248,0.0343210217898,0.112738631994,0.0162250499739,0.196949719463,0.376542975516,0.380665033773,0.948084446409,0.0148021937829,0.00546423122629,0.00687605617996,0.0365536711812,0.443507219642,0.00254099200687,0.0784807715689,0.434464162863,0.398491359044,0.242835261076,0.00155390452985,0.159012765551,0.982040966918,0.00311802419748,0.00868916747939,0.0633364481365,0.884790121094,0.0847212136099,0.183250192431,0.971044672049,0.0184077921229,0.000938775721269,0.0196527791009,0.00327326636043,0.00593497984311,0.251619719726,0.0046221157197,0.00140157311272,0.000911576131407,0.0698014141483,0.185476278389,0.00723718745336,0.00166773197782,0.0104464667292,0.160817770897,7.67465824453,0.00335489178644,0.270165268748,0.000137029478357,1.06807393862,0.00929470019523,2.01976227635,3.66800880153,2.42283139515,0.206898920219,0.0189044749734,0.000545321393462,0.000176180757888,0.0176143470955,0.00645623242926,9.43882048841,6.53484234766,1.29521391821,0.0892966207492,0.000648792632222,0.0319679519101,0.00704723031551,0.000362615422319,0.204430270416,0.184525573468,4.96318933475,0.00173663889918,0.0483909814998,0.0023770419715,0.0648860034339,0.00261754268862,0.176974969558,0.172486555012,0.267009862052,0.000870649882895,0.019408818923,0.0394859297533,0.0043457920279,0.000789550803867,0.00294100683141,0.208355652275,0.00150266339532,0.00422274514937,0.00118852098575,
1788_kidney_MF4,0.133138830452,0.0220126106474,0.162396161853,0.00620686767565,0.00342831537623,0.0165426277599,1.92901173763,0.251469269427,0.0232377835491,0.000308927687294,0.00305280685841,1.22868641409,0.102787439878,0.00253641166843,1.20301775476,0.00170612920611,0.0436982712624,0.00167069032052,0.0638520537359,0.00636887400976,0.000329922772838,0.000587272961154,0.00745735406707,0.0057816010486,0.0139781090151,0.045676565894,0.00330522632425,0.00173650539376,0.0344719102802,0.00815094368498,0.039721928045,0.0759252810209,0.00879390632349,0.0267107943366,0.0826232303969,0.0152944104797,0.287181556991,0.388531498048,0.19898934257,0.661821188335,0.0125625594003,0.00306978143636,0.00751474097587,0.0341155143604,0.424917300885,0.00311477090538,0.0725785110775,0.404930151698,0.273417051788,0.183730370976,0.00354895125663,0.126435818378,1.44311930611,0.0030127947756,0.00985419336509,0.10629436724,0.912672808613,0.082456698826,0.153570052862,0.923085503844,0.0189851172787,0.000764820973397,0.0318480451216,0.00312376879919,0.00495638128422,0.229069880128,0.00524877138606,0.00180257805887,0.000268415191481,0.086520733067,0.2015876572,0.0126670281496,0.0013089266437,0.00729225152558,0.117349911537,8.49164931246,0.00267245299878,0.402893963198,0.00013946510713,1.33008249602,0.0104108817809,1.97746152157,3.9806932797,2.6260984946,0.22614462779,0.0238852842595,0.000485300879539,0.000261025909965,0.0167961220911,0.00356201422263,3.23921130951,6.61516383085,1.7211378498,0.115229737053,0.000879195573999,0.0258651233817,0.00393329295378,0.000284584205089,0.225603657418,0.214523720056,7.43312564752,0.00199208943562,0.0926368704154,0.0029447868904,0.0936600041832,0.00331229629433,0.202107556194,0.158791390117,0.382587655133,0.00142669035266,0.0275722900149,0.0701669685268,0.00716737570829,0.000565399082958,0.0056784914565,0.309587094869,0.00260460510882,0.00698079401092,0.00127874425929,
1790_kidney_MF5,0.106288440169,0.0117097434084,0.0498347247562,0.00522232290297,0.0044638574411,0.0199156729647,1.47410767308,0.153830808069,0.0215876254884,0.000798505755662,0.00445314356067,0.606497911402,0.0903672041088,0.00109304432853,1.25718320371,0.000207476006804,0.0317410087093,0.00175089508181,0.0706620904711,0.00287936214321,0.000479427390823,0.000202415616394,0.0111784024154,0.00669995690264,0.0130052033533,0.0296781765607,0.0031033205433,0.00230753802689,0.0169776098251,0.00593583795076,0.023545996577,0.038089558615,0.00265670496517,0.0286468701102,0.0793469216265,0.0221796911664,0.251435709516,0.427484008192,0.130704823896,0.417477148422,0.0105652191566,0.00368478822339,0.00647388946324,0.038417359064,0.24138062255,0.00625361201341,0.0645493912381,0.384926974341,0.302662458578,0.102310973306,0.00100701769156,0.131848472129,1.24897444543,0.000717521399104,0.0137867768604,0.0838196633896,0.646388969002,0.0892868727923,0.175151346676,0.917010956871,0.0127521838328,0.00075477420312,0.0317183330895,0.00278262249133,0.00473146503321,0.239958268168,0.00449301210184,0.00199221517133,0.000779056143886,0.0537031787009,0.163401357844,0.0164777572568,0.00125901918543,0.00697337670783,0.141705589782,7.35114839488,0.00194425215581,0.280288264319,9.60251994108e-05,1.05908154235,0.00850700664458,2.07516076057,3.87417815175,2.40885503492,0.262739421231,0.0209871849809,0.000457410358484,0.000272587662844,0.0104626166197,0.00162726574485,3.18134549366,7.71865374686,1.81104310169,0.110107532706,0.000450182655302,0.026686745204,0.00237481675962,6.19517415554e-05,0.176619252529,0.124014996246,8.07606436611,0.00135571061104,0.0398783360392,0.00247703713319,0.0997370793739,0.00269799834474,0.13688960067,0.137798226213,0.296948120152,0.00143315028798,0.0340621589378,0.0519888689842,0.00484049607353,0.000792982291909,0.00513373431689,0.273024422622,0.00212184714827,0.00620136932969,0.00129375886948,
1793_kidney_MF6,0.111868272341,0.0306020510704,0.320399059832,0.00935488668256,0.00566964045315,0.0161228765821,1.9213689586,0.304231324726,0.0190397271428,0.000239886182505,0.00378285035251,3.12048440915,0.0739564892135,0.00895522436031,1.28323766631,0.00297887847169,0.0409153239705,0.00342966039331,0.0695206991019,0.0158656647463,0.000392796088313,0.00124545932982,0.0110232445162,0.00780270975659,0.0111533671327,0.0379914245788,0.00337664351632,0.00890875199725,0.0778690915315,0.0110000083346,0.0613016941032,0.293068663121,0.0315175566225,0.0265403665395,0.110831938645,0.0135792244841,0.319444361923,0.412474214967,0.413218310558,1.88148938503,0.016463767473,0.00370911734821,0.0070212300786,0.0429003470596,0.607579674554,0.00569834896688,0.05351285566,0.381405139548,0.426980467431,0.413162543722,0.00514449058996,0.160562014348,1.23541880699,0.000568151484881,0.0117698542177,0.105402833087,1.08540851146,0.0892797451872,0.158136899468,0.872580328308,0.027962420849,0.000830483158148,0.0322289190461,0.00208181926806,0.00619941323127,0.211212068059,0.0045171550156,0.00124291905088,0.000271905894129,0.0906420395113,0.204682966959,0.0205265535058,0.00128019168697,0.00685005157289,0.0926386799475,7.66557156232,0.00238336275687,0.246874386433,5.27212204037e-05,1.07638825029,0.00938255925875,2.03894677732,2.95896734612,2.93929643526,0.195746991663,0.0185087843079,0.000313600362746,9.72615617793e-05,0.0176443380906,0.00342415236657,3.59468828053,7.65764889638,1.7496226668,0.103600471859,0.000426314696023,0.0298356658157,0.00342415236657,6.18110859906e-05,0.211224842588,0.211078495752,5.79304654724,0.00138711348855,0.0685875807856,0.00214611726506,0.0949630723754,0.00301874436139,0.126337314832,0.163467597781,0.29299909138,0.00100715710702,0.0224270325433,0.0566080469287,0.00571661646757,0.000779001480793,0.0045058463714,0.230759872721,0.00167344425454,0.00564026159664,0.00115532191609,
